Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 50 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time=  6.0s | Train: skip eval | Valid: time=  0.3s loss=2.634, TAw acc= 19.4% | *
| Epoch   6, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.144, TAw acc= 54.7% | *
| Epoch   7, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.187, TAw acc= 53.6% |
| Epoch   8, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.122, TAw acc= 59.3% | *
| Epoch   9, time=  6.0s | Train: skip eval | Valid: time=  0.5s loss=3.235, TAw acc= 53.1% |
| Epoch  10, time=  5.9s | Train: skip eval | Valid: time=  0.5s loss=3.162, TAw acc= 56.7% |
| Epoch  11, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.162, TAw acc= 56.1% |
| Epoch  12, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.542, TAw acc= 38.0% |
| Epoch  13, time=  5.7s | Train: skip eval | Valid: time=  0.5s loss=3.242, TAw acc= 55.9% | lr=3.3e-02
| Epoch  14, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.080, TAw acc= 60.7% | *
| Epoch  15, time=  6.1s | Train: skip eval | Valid: time=  0.5s loss=3.093, TAw acc= 60.0% |
| Epoch  16, time=  6.0s | Train: skip eval | Valid: time=  0.4s loss=3.101, TAw acc= 59.8% |
| Epoch  17, time=  5.6s | Train: skip eval | Valid: time=  0.5s loss=3.090, TAw acc= 61.0% |
| Epoch  18, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.077, TAw acc= 60.9% | *
| Epoch  19, time=  5.7s | Train: skip eval | Valid: time=  0.5s loss=3.083, TAw acc= 61.0% |
| Epoch  20, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.085, TAw acc= 60.7% |
| Epoch  21, time=  5.9s | Train: skip eval | Valid: time=  0.5s loss=3.099, TAw acc= 60.5% |
| Epoch  22, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.125, TAw acc= 58.8% |
| Epoch  23, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.089, TAw acc= 60.0% | lr=1.1e-02
| Epoch  24, time=  5.6s | Train: skip eval | Valid: time=  0.4s loss=3.077, TAw acc= 61.4% | *
| Epoch  25, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.077, TAw acc= 61.2% | *
| Epoch  26, time=  6.0s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 61.8% | *
| Epoch  27, time=  5.6s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 62.2% | *
| Epoch  28, time=  5.7s | Train: skip eval | Valid: time=  0.5s loss=3.069, TAw acc= 62.2% | *
| Epoch  29, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 61.6% |
| Epoch  30, time=  5.7s | Train: skip eval | Valid: time=  0.5s loss=3.079, TAw acc= 61.3% |
| Epoch  31, time=  6.0s | Train: skip eval | Valid: time=  0.4s loss=3.072, TAw acc= 62.5% |
| Epoch  32, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.074, TAw acc= 62.5% |
| Epoch  33, time=  5.6s | Train: skip eval | Valid: time=  0.4s loss=3.078, TAw acc= 61.8% | lr=3.7e-03
| Epoch  34, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.072, TAw acc= 61.4% |
| Epoch  35, time=  5.9s | Train: skip eval | Valid: time=  0.5s loss=3.081, TAw acc= 61.0% |
| Epoch  36, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.071, TAw acc= 62.1% |
| Epoch  37, time=  5.8s | Train: skip eval | Valid: time=  0.5s loss=3.081, TAw acc= 61.0% |
| Epoch  38, time=  5.9s | Train: skip eval | Valid: time=  0.5s loss=3.082, TAw acc= 61.7% | lr=1.2e-03
| Epoch  39, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.081, TAw acc= 61.2% |
| Epoch  40, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.073, TAw acc= 61.6% |
| Epoch  41, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.072, TAw acc= 61.8% |
| Epoch  42, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.069, TAw acc= 62.6% |
| Epoch  43, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.076, TAw acc= 62.6% | lr=4.1e-04
| Epoch  44, time=  6.0s | Train: skip eval | Valid: time=  0.5s loss=3.065, TAw acc= 62.0% | *
| Epoch  45, time=  6.0s | Train: skip eval | Valid: time=  0.4s loss=3.074, TAw acc= 61.8% |
| Epoch  46, time=  6.3s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 61.3% |
| Epoch  47, time=  6.0s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 61.9% |
| Epoch  48, time=  5.7s | Train: skip eval | Valid: time=  0.4s loss=3.075, TAw acc= 61.5% |
| Epoch  49, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.078, TAw acc= 60.6% | lr=1.4e-04
| Epoch  50, time=  5.9s | Train: skip eval | Valid: time=  0.4s loss=3.077, TAw acc= 61.0% |
| Epoch  51, time=  6.0s | Train: skip eval | Valid: time=  0.5s loss=3.072, TAw acc= 61.7% |
| Epoch  52, time=  5.9s | Train: skip eval | Valid: time=  0.5s loss=3.073, TAw acc= 61.8% |
| Epoch  53, time=  6.0s | Train: skip eval | Valid: time=  0.5s loss=3.082, TAw acc= 61.9% |
| Epoch  54, time=  5.8s | Train: skip eval | Valid: time=  0.4s loss=3.076, TAw acc= 60.8% | lr=4.6e-05
Stage 2: Training bias correction layers
| Epoch  50, time=  0.2s | Train: loss=2.932, TAg acc= 26.5% |
| Epoch 100, time=  0.2s | Train: loss=2.927, TAg acc= 30.5% |
| Epoch 150, time=  0.2s | Train: loss=3.077, TAg acc= 24.0% |
| Epoch 200, time=  0.2s | Train: loss=2.864, TAg acc= 26.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=0.78806, beta=-0.81252
Stage 2: BiC training for Task 2: alpha=0.57377, beta=-0.78402
Stage 2: BiC training for Task 3: alpha=0.58853, beta=-0.85758
| Selected 1800 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.702 | TAw acc= 59.2%, forg=  5.4%| TAg acc= 38.7%, forg= 25.9% <<<
>>> Test on task  1 : loss=2.072 | TAw acc= 65.0%, forg=  0.2%| TAg acc= 52.7%, forg=  9.8% <<<
>>> Test on task  2 : loss=2.892 | TAw acc= 58.5%, forg=  1.6%| TAg acc= 28.5%, forg=  5.6% <<<
>>> Test on task  3 : loss=3.321 | TAw acc= 62.2%, forg=  0.0%| TAg acc= 26.6%, forg=  0.0% <<<
Save at ../results/cifar100_bic
************************************************************************************************************
TAw Acc
	 64.6%   0.0%   0.0%   0.0% 	Avg.: 64.6% 
	 60.0%  65.2%   0.0%   0.0% 	Avg.: 62.6% 
	 58.6%  64.5%  60.2%   0.0% 	Avg.: 61.1% 
	 59.2%  65.0%  58.5%  62.2% 	Avg.: 61.2% 
************************************************************************************************************
TAg Acc
	 64.6%   0.0%   0.0%   0.0% 	Avg.: 64.6% 
	 36.9%  62.5%   0.0%   0.0% 	Avg.: 49.7% 
	 38.4%  56.6%  34.1%   0.0% 	Avg.: 43.1% 
	 38.7%  52.7%  28.5%  26.6% 	Avg.: 36.6% 
************************************************************************************************************
TAw Forg
	  0.0%   0.0%   0.0%   0.0% 
	  4.6%   0.0%   0.0%   0.0% 	Avg.:  4.6% 
	  6.0%   0.7%   0.0%   0.0% 	Avg.:  3.4% 
	  5.4%   0.2%   1.6%   0.0% 	Avg.:  2.4% 
************************************************************************************************************
TAg Forg
	  0.0%   0.0%   0.0%   0.0% 
	 27.7%   0.0%   0.0%   0.0% 	Avg.: 27.7% 
	 26.2%   5.8%   0.0%   0.0% 	Avg.: 16.0% 
	 25.9%   9.8%   5.6%   0.0% 	Avg.: 13.7% 
************************************************************************************************************
[Elapsed time = 0.4 h]
Done!
